sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_vmag,sy_kmag,sy_gaiamag
1.0,1.0,6.393305931683741,1.4929040961781488,2.2857943325964074,3.5553480614894135,0.22400000000000003,870.24,5166.0,1.1400000000000001,0.76,0.0516,4.5120000000000005,269.6496667,-28.1336694,15.634320000000017,14.218,10.863846
1.0,1.0,7.550215427418918,1.2892326482767593,2.2857943325964074,1.2892326482767593,0.18680000000000002,867.8399999999999,5158.4,1.152,0.51,0.0516,4.498,273.48225,-28.4473889,15.634320000000013,14.218,9.682777999999999
1.0,1.0,5.2319728446932725,1.1474024528375417,2.4224333881709645,5.986452005284438,0.35816,667.24,5166.0,1.33,0.48,0.0416,4.378,265.743417,-25.5739167,16.911520000000017,13.945600000000002,9.770026
1.0,1.0,4.541671602502159,1.308332819650179,2.2857943325964074,7.170888478512505,0.22399999999999998,832.8399999999999,5308.4,1.1400000000000001,0.56,0.0516,4.435999999999999,269.706,-30.1969306,14.078740000000014,11.481399999999999,10.366859999999999
1.0,1.0,5.429973009590574,1.3137236682850553,2.4224333881709645,5.14166355650266,0.3022,667.24,5166.0,1.33,0.26,0.068,4.354,264.559083,-27.1361389,16.911520000000014,13.945600000000002,9.201001999999999
1.0,1.0,5.2319728446932725,1.4586150226995167,2.4224333881709645,5.484796933490655,0.22400000000000003,667.24,5166.0,1.33,0.43,0.0416,4.378,265.548708,-26.1378889,16.911520000000017,13.945600000000002,9.770026
1.0,1.0,6.036591629848945,1.252762968495368,2.2857943325964074,4.802173355199229,0.22400000000000003,832.8399999999999,5166.0,1.1400000000000001,0.55,0.0516,4.436,270.19075,-29.1754389,14.07874000000001,11.481400000000002,10.366859999999999
2.0,1.0,4.7655418654701664,1.513702004254278,2.2857943325964074,7.6183011211955325,0.22399999999999998,832.8399999999999,5308.4,1.1400000000000001,0.62,0.0516,4.436,270.9116667,-29.6043889,14.078740000000014,11.481399999999999,10.366859999999999
1.0,2.0,7.4896915302060805,1.1939224684724346,2.2857943325964074,5.44673737166631,0.22400000000000003,609.8399999999999,5158.4,1.1400000000000001,0.51,0.0516,4.5120000000000005,268.143792,-30.0877778,15.634320000000017,14.218,10.366859999999999
1.0,1.0,6.39330593168374,1.410986973710262,2.2857943325964074,2.322387720290225,0.22399999999999998,609.8399999999999,5166.0,1.1400000000000001,0.7,-0.09178,4.5120000000000005,267.8825833,-29.5654722,16.911520000000014,14.218,10.293896
1.0,1.0,6.39330593168374,0.9242589015233319,2.4224333881709645,2.998229153752578,0.22399999999999998,667.24,5166.0,1.1400000000000001,0.24,-0.09178,4.5120000000000005,267.6172083,-29.2792806,16.911520000000017,13.945599999999999,10.293896
1.0,2.0,5.103552397081774,1.0296194171811583,2.2857943325964074,6.3473892096560105,0.22399999999999998,870.24,5308.4,1.1400000000000001,0.18,0.0516,4.435999999999999,269.014,-29.0828889,15.634320000000017,12.535799999999998,10.366859999999999
1.0,1.0,6.39330593168374,0.8350806764486118,2.2857943325964074,1.9543033984133351,0.22399999999999998,812.8399999999999,5166.0,1.1400000000000001,0.22,0.0516,4.5120000000000005,269.8664167,-27.8780611,16.911520000000017,14.218,10.863846
1.0,1.0,5.981388995417994,0.8241754429663494,2.2857943325964074,4.426466755872607,0.32816,1022.04,5292.4,1.152,0.11,0.0516,4.497999999999999,273.459,-25.4857222,14.07874000000001,11.481400000000002,8.198146
1.0,1.0,7.550215427418918,1.2809338454620642,2.2857943325964074,3.58351893845611,0.14,867.8399999999999,5158.4,1.1400000000000001,0.57,0.0516,4.435999999999999,272.019257,-29.7315826,15.582320000000015,12.891200000000001,10.366859999999999
